match_id,date,home,away,market,selection,model_proba,book_proba,book_odds,edge,kelly_stake_fraction,stake_amount,outcome,pnl,bankroll_before,bankroll_after
22500001,2025-10-21 00:00:00,OKC,HOU,total_poisson,over_225.0,0.8792192257291933,0.7561248171502544,1.3225329698460138,0.12309440857893894,0.03,30.0,1,9.675989095380412,1000.0,1009.6759890953804
22500001,2025-10-21 00:00:00,OKC,HOU,away_team_total,over_110.5,0.7817717276269778,0.7283154326354052,1.373031457512174,0.05345629499157256,0.03,30.29027967286141,1,11.299227174818869,1009.6759890953804,1020.9752162701992
22500001,2025-10-21 00:00:00,OKC,HOU,total_poisson,over_225.0,0.8654467906538735,0.806845005783967,1.2393954140279457,0.058601784869906526,0.03,30.629256488105977,1,7.3325035383382735,1020.9752162701992,1028.3077198085375
22500001,2025-10-21 00:00:00,OKC,HOU,total,under_225.0,0.2912188922871204,0.2319438625643874,4.311388061507344,0.05927502972273299,0.019293846775523656,19.840011584074034,0,-19.840011584074034,1028.3077198085375,1008.4677082244634
22500002,2025-10-21 00:00:00,LAL,GSW,away_team_total,under_110.5,0.3081737152271307,0.18917386426233015,5.286142480090619,0.11899985096480056,0.029352741782684988,29.60129223568878,0,-29.60129223568878,1008.4677082244634,978.8664159887746
22500002,2025-10-21 00:00:00,LAL,GSW,away_team_total,under_110.5,0.3081737152271307,0.2481295843457211,4.030152239350433,0.06004413088140961,0.015971936022820935,15.634391771060733,0,-15.634391771060733,978.8664159887746,963.232024217714
22500087,2025-10-22 00:00:00,UTA,LAC,moneyline,home,0.3519003659486771,0.30682676914640067,3.2591680405918417,0.045073596802276406,0.0162562526926967,15.658543187380907,1,35.37528033115806,963.232024217714,998.607304548872
22500080,2025-10-22 00:00:00,CHA,BKN,away_team_total,over_110.5,0.5955954962287142,0.4857924747074439,2.0584921588219833,0.1098030215212703,0.03,29.95821913646616,1,31.710540048220118,998.607304548872,1030.317844597092
22500080,2025-10-22 00:00:00,CHA,BKN,total_poisson,under_225.0,0.621827590147533,0.5641047251365169,1.772720481570144,0.05772286501101609,0.03,30.90953533791276,0,-30.90953533791276,1030.317844597092,999.4083092591793
22500089,2025-10-22 00:00:00,POR,MIN,home_team_total,over_112.5,0.4774115098705046,0.40851270756908475,2.4479042670438522,0.06889880230141987,0.023296798826651772,23.28301432649528,1,33.71157579297566,999.4083092591793,1033.119885052155
22500084,2025-10-22 00:00:00,CHI,DET,total_poisson,over_225.0,0.822484402543017,0.6992868762857921,1.4300282672419398,0.12319752625722491,0.03,30.99359655156465,1,13.328122620665106,1033.119885052155,1046.44800767282
22500004,2025-10-22 00:00:00,DAL,SAS,away_team_total,over_110.5,0.6992683982858588,0.6194340696406856,1.6143768142751154,0.07983432864517326,0.03,31.3934402301846,1,19.28740179775706,1046.44800767282,1065.735409470577
22500004,2025-10-22 00:00:00,DAL,SAS,home_team_total,over_112.5,0.3857881590117087,0.3053292636512494,3.275152823681557,0.0804588953604593,0.023164613434951423,24.687348784325582,0,-24.687348784325582,1065.735409470577,1041.0480606862513
